act,prompt,for_devs
鹏鼎控股深圳园区,鹏鼎控股的制造基地分布于深圳、秦皇岛、淮安，服务半径覆盖中国大陆、中国香港、中国台湾、日本、韩国、美国及越南等地，可以为全球客户提供高速、高质、低成本及高附加值的PCB设计、开发、制造及销售服务，满足客户的需求,TRUE
深粮控股,"深圳市深粮控股有限公司（以下简称：深粮控股）是深圳市市属国有大型粮食企业，是深圳市的“米袋子”，受政府委托，承担深圳市和东莞市地方粮食储备，同时负责驻港、部分驻深部队和武警部队的军粮供应任务，是我国华南地区粮油产品供应的主渠道。深粮控股前身是宝安县财粮科，深圳特区成立后升格为深圳市粮食局。1982年职能转变更名为深圳市粮油公司，1984年率先在全国探索粮食流通体制改革，1993年更名为深圳市粮食总公司，1998年更名为深圳市粮食集团有限公司，2018年与深圳市深宝实业股份有限公司（以下简称：深宝股份）完成重大资产重组，正式登陆资本市场，成为“地方大中型粮食企业整体上市第一股”，并入选国务院国企改革“双百行动”。截至2018年底，公司注册资本金11.53亿元，总资产64.69亿元、净资产43.38亿元，员工人数1233人，财务状况和资债结构不断向好。连续多年在国务院国资委省级监管928家企业财务绩效评价中获评优秀，在资产总额10-100亿规模的优秀企业中排名第四；连续举办12次的“粮库开放日”荣获第十三届深圳关爱行动“百佳市民满意项目”、“深圳市十佳企业文化案例”。2018年，在“深圳500强企业”中，深粮控股排名第88位。"
农产品集团,"深圳市农产品集团股份有限公司（股票代码：000061）成立于1989年，是一家以投资、开发、建设、经营和管理农产品批发市场为核心业务、总资产达1,899,969万元、拥有员工4823人的大型现代化农产品流通企业集团，旗下全资、控股企业42家，分公司2家，主要参股企业22家。截至2018年底，公司资产总额189.9亿元，净资产65.9亿元。"
特区建发,深圳市特区建设发展集团有限公司（简称“特区建发集团”）是深圳市委市政府为加快投资体制改革，推进特区一体化进程，于2011年成立的大型市属国有综合性投融资公司，公司主业范围为基础设施投资建设运营、产业园区为主的地产项目开发与运营、与运营园区相关的产业投资。截至2018年12月末，公司注册资本金327.59亿元，总资产668.09亿元、净资产371.67亿元。截至2018年12月末，公司在册人员2751人（其中特区建发集团总部105人）。公司成立以来，有效发挥了市级投融资、重大基础设施投资建设、城市产业升级空间拓展、深圳对口帮扶等平台作用。
创新投,"深圳市创新投资集团有限公司（简称“深创投”）1999年由深圳市政府出资并引导社会资本出资设立，公司以发现并成就伟大企业为使命，致力于做创新价值的发掘者和培育者，已发展成为以创业投资为核心的综合性投资集团，现注册资本54.2亿元，管理各类资金总规模约3389.89亿元，员工约440人。截至2019年4月底，深创投投资企业数量、投资企业上市数量均居国内创投行业第一位：已投资项目994个，累计投资金额约439亿元，其中145家投资企业分别在全球16个资本市场上市，251个项目已退出（含IPO）。专业的投资和深度的服务，助推了潍柴动力、酷狗音乐（腾讯音乐）、欧菲光、迈瑞医疗、信维通信、中新赛克、宁德时代、网宿科技、环球易购（跨境通）、多氟多、御家汇、柔宇科技、康方生物等众多明星企业成长，也成就了深创投优异的业绩。"
深圳国际,"深圳国际控股有限公司（以下简称“深国际”）是一家于百慕达注册成立、在香港联合交易所主板上市，并由深圳市人民政府国有资产监督管理委员会控股的红筹公司（股份代号：00152.HK）。截至2018年12月31日，深圳国际已发行股本为2,119,872,855股，每股面值港币1元。市国资委通过全资附属子公司—深圳市投资控股有限公司持有44.909%股权。截止2018年底，公司总资产738.95亿元，净资产388.55亿元，股东净资产245.82亿元，2018年实现营业收入约87.82亿元，实现利润总额约70.98亿元，员工6958人。"
安全研究院,深圳市城市公共安全技术研究院（以下简称“安全研究院”）是深圳市人民政府全资设立，深圳市国资委直管企业之一.安全研究院于2016年1月注册成立，3月1日，时任市委书记马兴瑞、市长许勤为公司揭牌。安全研究院的设立，是深圳市委、市政府探索城市公共安全保障机制，利用市场化、专业化服务为城市公共安全提供服务与保障的一项重大举措和创新。
人才安居,"深圳市人才安居集团有限公司于2016年6月30日注册成立，根据市委、市政府的战略部署，公司注册资本人民币1000亿元，是深圳市国资委履行出资人职责的国有独资有限责任公司，为市国资系统直管企业。截至2018年底，人才安居集团总资产1238亿元，员工人数470人。"
赛格集团,"深圳市赛格集团有限公司（以下简称“赛格集团”）成立于1986年1月，2003年实现“债转股”后，成为股权多元化的集团企业，目前公司股东为深圳市人民政府国有资产监督管理委员会、深圳市远致投资有限公司、中国东方资产管理股份有限公司、中国长城资产管理股份有限公司、深圳市鲲鹏股权投资有限公司，注册资本15.31亿元。截止到2018年12月31日，赛格集团总资产108.60亿元，2018年实现营业收入31.14亿元。赛格集团拥有二级企业13家，三级企业34家，其中深赛格（000058）、华控赛格（000068）为“深交所”上市公司，深圳深爱半导体股份有限公司为新三板上市公司。赛格集团共有3,838名系统员工。"
免税集团,"深圳市国有免税商品（集团）有限公司（以下简称“深圳免税集团”）是由深圳市政府和国家海关总署批准，经营免税商品的国有独资企业，属深圳市国资委直管企业。截至2018年底，集团总资产47亿元，净资产39亿元；下属各级子公司共计21家，其中纳入合并报表范围的公司为16家；职工共2452人，其中公司总部及免税业务板块员工880人。"
天健集团,"深圳市天健（集团）股份有限公司（SHENZHEN/TAGEN/GROUP/CO.，LTD）原名深圳市天健实业股份有限公司，其前身为1976年整编为基建工程兵302团，1983年9月集体转业改编为深圳市市政工程公司。截止2018年4月底，总资产27,517,338,235.21元，净资产6,507,168,939.81元；属下全资及控股公司65家，并表户企业58家；职工人数5978人，其中天健集团本部职工人数104人。"
